drug_a,drug_b,support,n_ab,n_abz,additive_expected,omega_add,omega_add_lower,expected,omega,omega_lower,naive_log2_oe,eras_with_signal,om025_2004-2012,om025_2013-2018,om025_2019-2026
ALLOPURINOL,AMIODARONE,plausible,530,1,11.923950688737364,-3.0500896028888578,-6.847316871250205,31.859371802684574,-4.431149194951753,-8.2283764633131,1.3831617589318612,0,-5.603052894664212,-12.490890135629275,-13.511537822480141
AMOXICILLIN,SULFAMETHOXAZOLE,unsupported,1911,1,11.976694746902636,-3.0562013886376342,-6.8534286569989815,15.030584516643838,-3.372077722886536,-7.169304991247883,0.9123328279753641,0,-12.559482095478714,-5.309414118553943,-13.230111664614338
SODIUM CHLORIDE,UNSPECIFIED INGREDIENT,unsupported,2340,1,12.049288719695452,-3.0645711902427837,-6.86179845860413,3.8935554352181785,-1.5504263963832774,-5.347653664744624,0.17161553176846142,0,-11.562900077454037,-2.7380793823128666,-13.532539335084774
AZITHROMYCIN,PREDNISONE,known_pair,1630,1,12.065104926644205,-3.0663883128592833,-6.86361558122063,8.261226143636714,-2.5461702900590537,-6.3433975584204,0.37336453073735787,0,-11.802905331963848,-3.777153563253336,-14.115816327218992
METFORMIN,SERTRALINE,unsupported,970,1,12.075289902825787,-3.067557253564653,-6.864784521926,23.660141614767486,-4.00959450521678,-7.806821773578127,-0.10185405215944289,0,-11.364619497340902,-12.716726654459316,-6.486325316822103
FENTANYL,GABAPENTIN,unsupported,2498,1,12.24177277675449,-3.0865316094609585,-6.883758877822306,14.334111350329668,-3.3058840977371426,-7.1031113660984895,-0.2693133427856603,0,-4.365446106973888,-11.766412571506782,-14.683283755765528
AMOXICILLIN,FLUCONAZOLE,plausible,798,1,12.252055416177594,-3.0876953980920847,-6.8849226664534315,18.7173110779416,-3.679372079814529,-7.476599348175876,1.2426136496181934,0,-13.138558774495225,-5.0766621547799025,-13.331887975204385
NAPROXEN,SIMVASTATIN,plausible,487,2,48.88530380329995,-4.304081785039174,-6.892722163446451,33.33438323732827,-3.7584900900826392,-6.347130468489916,1.2563511165203944,0,-5.760696955220073,-5.484136881404479,-16.044455840847792
CITALOPRAM,OXYCODONE,unsupported,1832,1,12.345183249673383,-3.0981930660716737,-6.8954203344330205,10.074747668854302,-2.817588832808283,-6.61481610116963,-0.1440001944764345,0,-4.811456224861493,-13.633997384546841,-13.369292231944112
SIMVASTATIN,SODIUM BICARBONATE,plausible,117,1,12.447966470646195,-3.1096911289057036,-6.9069183972670505,30.497108159163858,-4.369099221309576,-8.166326489670924,1.3897362868589898,0,-3.2165606580038095,-13.067706226795497,-13.725301530937827
HALOPERIDOL,PAROXETINE,unsupported,466,1,12.496573492878902,-3.1150969053868014,-6.912324173748148,32.085624161329676,-4.4412012234869715,-8.238428491848317,1.2399864812202994,0,-4.38835832343935,-13.253513470436106,-14.069653921094591
LAMOTRIGINE,LOXAPINE,unsupported,285,1,12.55811678160466,-3.121912443137502,-6.9191397114988495,25.58040280085068,-4.11993174572531,-7.917159014086657,1.4930159613453269,0,-10.95297096095241,-13.436295812782012,-6.204322641400003
ACETAMINOPHEN,TRIMETHOPRIM,unsupported,2375,1,12.58454196444187,-3.1248290166649424,-6.922056285026289,14.680826865705104,-3.3392159674336788,-7.136443235795026,-0.5754201698105036,0,-12.336747033469026,-4.750567592849001,-13.591258785602372
LISINOPRIL,SPIRONOLACTONE,unsupported,1114,1,12.589529455767593,-3.1253788301787564,-6.922606098540103,18.825063612390196,-3.687438757249257,-7.484666025610603,1.2056678137052226,0,-13.056485766128825,-5.159683341926587,-13.584992265991083
ACETAMINOPHEN,SULFAMETHOXAZOLE,unsupported,2442,1,12.858471281399101,-3.1547205120878394,-6.951947780449187,14.948401667602544,-3.3644231749814897,-7.161650443342837,-0.5098178522213052,0,-12.133806962010082,-4.767518234967032,-13.696916592554414
AMOXICILLIN,TRIMETHOPRIM,unsupported,2047,1,12.897010482502063,-3.158876696099419,-6.956103964460766,16.181309069654414,-3.4751981032241397,-7.272425371585487,0.8800420543998996,0,-12.854086181971473,-5.390777162594524,-13.233583233085232
GABAPENTIN,ZOLPIDEM,unsupported,1304,1,12.983598910218644,-3.1681712121212255,-6.965398480482572,17.823963691557708,-3.6106972034760907,-7.407924471837438,0.7806163019951431,0,-12.480827706698568,-5.260185972762975,-13.909602061819262
