drug_a,drug_b,stratum,rr_a,rr_b,n_ab,n_abz,additive_expected,omega_add,omega_add_lower,expected,omega,omega_lower
ASPIRIN,IRINOTECAN,easy,1.408142556196669,0.41798744937978183,69,1,0.20074620960820952,1.0979985599814714,-2.6992287083798754,0.0840976689893871,1.3606809683093153,-2.4365463000520315
ASPIRIN,IXAZOMIB,easy,1.408142556196669,0.2160054189164998,81,0,0.23565859388789812,-0.5571082975119612,-10.548996113318823,0.051007027426613276,-0.14014262385257903,-10.132030439659442
ASPIRIN,LAMIVUDINE,easy,1.408142556196669,1.421241769563623,128,1,0.48380077841881747,0.6085243990342429,-3.188702869327104,0.5305416044458119,0.5415597509958183,-3.2556675173655285
ASPIRIN,LANSOPRAZOLE,easy,1.408142556196669,1.583749934874413,1397,25,5.749286353214402,2.0287338935508856,1.4077583709260206,6.376512866183301,1.8907481936205413,1.2697726709956767
ASPIRIN,LATANOPROST,easy,1.408142556196669,0.04153109165661585,108,0,0.3142114585171975,-0.703475429992199,-10.695363245799062,0.01307262315947211,-0.03723495249777767,-10.02912276830464
ASPIRIN,LEFLUNOMIDE,easy,1.408142556196669,0.8128703735419257,567,0,1.6496101572152868,-2.1040750434201287,-12.095962859226992,1.3393136109234363,-1.879167486465408,-11.871055302272271
ASPIRIN,LENALIDOMIDE,easy,1.408142556196669,0.1514473787974003,653,0,1.8998155778863886,-2.2629235412122055,-12.254811357019069,0.2846801380843592,-0.6501765881097459,-10.642064403916608
ASPIRIN,LETROZOLE,easy,1.408142556196669,0.4456111560065148,105,0,0.30548336244727536,-0.6879266949598125,-10.679814510766676,0.13639449856912308,-0.3479932691892826,-10.339881084996145
ASPIRIN,LEUCOVORIN,easy,1.408142556196669,0.13848450419633795,100,0,0.29093653566407174,-0.6616338433556233,-10.653521659162486,0.04036606655395987,-0.11200898549158199,-10.103896801298445
ASPIRIN,LEUPROLIDE,easy,1.408142556196669,0.2918692093637144,143,0,0.4160392459996226,-0.8734813143476555,-10.865369130154518,0.12153112068977899,-0.3138985353940323,-10.305786351200895
ASPIRIN,LEVODOPA,easy,1.408142556196669,1.1674376777315552,223,0,0.7259338139969764,-1.2938810925720403,-11.285768908378904,0.759256214077253,-1.332571850310228,-11.324459666117091
ASPIRIN,LEVOTHYROXINE,easy,1.408142556196669,1.2204762866432508,1853,14,6.235144373747079,1.1062721236706516,0.2525292786587952,6.525740972381797,1.0453306074014703,0.191587762389614
