drug_a,drug_b
CHOLESTYRAMINE,HYDROCHLOROTHIAZIDE
HYDROCHLOROTHIAZIDE,LISINOPRIL
HYDROCHLOROTHIAZIDE,LITHIUM
HYDROCHLOROTHIAZIDE,NOREPINEPHRINE
HYDROCHLOROTHIAZIDE,POTASSIUM
ACETAMINOPHEN,HYDROCODONE
ALCOHOL,HYDROCODONE
CYCLOBENZAPRINE,HYDROCODONE
HYDROCODONE,LINEZOLID
HYDROCODONE,METHYLENE BLUE
HYDROCODONE,MIRTAZAPINE
HYDROCODONE,NALOXONE
HYDROCODONE,NOREPINEPHRINE
HYDROCODONE,TRAMADOL
HYDROCODONE,TRAZODONE
ALCOHOL,HYDROMORPHONE
BENZODIAZEPINE,HYDROMORPHONE
BUPRENORPHINE,HYDROMORPHONE
CYCLOBENZAPRINE,HYDROMORPHONE
HYDROMORPHONE,LINEZOLID
HYDROMORPHONE,METHYLENE BLUE
HYDROMORPHONE,MIRTAZAPINE
HYDROMORPHONE,NALOXONE
HYDROMORPHONE,NOREPINEPHRINE
HYDROMORPHONE,TRAMADOL
HYDROMORPHONE,TRAZODONE
AMPICILLIN,HYDROXYCHLOROQUINE
CHLOROQUINE,HYDROXYCHLOROQUINE
CALCIUM,IBANDRONATE
ACETAMINOPHEN,INFLIXIMAB
EPINEPHRINE,INFLIXIMAB
ACETAMINOPHEN,INFLIXIMAB DYYB
EPINEPHRINE,INFLIXIMAB DYYB
INFLIXIMAB,INFLIXIMAB DYYB
IPILIMUMAB,NIVOLUMAB
DANTROLENE,ISOFLURANE
FENTANYL,ISOFLURANE
ISOFLURANE,OXYGEN
ISOFLURANE,PANCURONIUM
ISOFLURANE,POTASSIUM
ISOFLURANE,ROCURONIUM
ISOFLURANE,SEVOFLURANE
ISOFLURANE,SUCCINYLCHOLINE
ISOFLURANE,VECURONIUM
LAMIVUDINE,ZIDOVUDINE
ABACAVIR,LEDIPASVIR
ATAZANAVIR,LEDIPASVIR
COBICISTAT,LEDIPASVIR
CYCLOSPORINE,LEDIPASVIR
DARUNAVIR,LEDIPASVIR
DOLUTEGRAVIR,LEDIPASVIR
EFAVIRENZ,LEDIPASVIR
ELVITEGRAVIR,LEDIPASVIR
EMTRICITABINE,LEDIPASVIR
LAMIVUDINE,LEDIPASVIR
LEDIPASVIR,METHADONE
LEDIPASVIR,RITONAVIR
LEDIPASVIR,ROSUVASTATIN
LEDIPASVIR,SIMEPREVIR
LEDIPASVIR,SOFOSBUVIR
LEDIPASVIR,TENOFOVIR
LEDIPASVIR,TENOFOVIR ALAFENAMIDE
EVEROLIMUS,LENVATINIB
LINAGLIPTIN,METFORMIN
BUSPIRONE,LINEZOLID
DOBUTAMINE,LINEZOLID
LINEZOLID,MEPERIDINE
LINEZOLID,NOREPINEPHRINE
AMPHETAMINE,LISDEXAMFETAMINE DIMESYLATE
LINEZOLID,LISDEXAMFETAMINE DIMESYLATE
LISDEXAMFETAMINE DIMESYLATE,METHYLENE BLUE
CHOLESTYRAMINE,LISINOPRIL
LISINOPRIL,LITHIUM
LISINOPRIL,NOREPINEPHRINE
LISINOPRIL,POTASSIUM
ATAZANAVIR,LOPINAVIR
CALCIUM,LOPINAVIR
CYCLOSPORINE,LOPINAVIR
DASABUVIR,LOPINAVIR
DIGOXIN,LOPINAVIR
LOPINAVIR,LOVASTATIN
LOPINAVIR,OMBITASVIR
LOPINAVIR,PARITAPREVIR
LOPINAVIR,RITONAVIR
LOPINAVIR,ROSUVASTATIN
LOPINAVIR,SIMVASTATIN
LOPINAVIR,TACROLIMUS
AMIODARONE,LOVASTATIN
CYCLOSPORINE,LOVASTATIN
DANAZOL,LOVASTATIN
DIGOXIN,LOVASTATIN
DILTIAZEM,LOVASTATIN
DRONEDARONE,LOVASTATIN
ERYTHROMYCIN,LOVASTATIN
GEMFIBROZIL,LOVASTATIN
GLIPIZIDE,LOVASTATIN
ITRACONAZOLE,LOVASTATIN
KETOCONAZOLE,LOVASTATIN
LOVASTATIN,NEFAZODONE
LOVASTATIN,NIACIN
LOVASTATIN,POSACONAZOLE
LOVASTATIN,PROPRANOLOL
LOVASTATIN,RANOLAZINE
LOVASTATIN,TELAPREVIR
LOVASTATIN,TELITHROMYCIN
LOVASTATIN,VERAPAMIL
LOVASTATIN,VORICONAZOLE
LOVASTATIN,WARFARIN
DEXTROSE,MAGNESIUM SULFATE
MAGNESIUM,MAGNESIUM SULFATE
