drug_a,drug_b,mechanism,expected_strength,n_ab,n_abz,expected,omega,omega_lower,additive_expected,omega_add,omega_add_lower,naive_log2_oe,rr_a,rr_b,signal,signal_multiplicative,tier,policy
SIMVASTATIN,AMIODARONE,CYP3A4 inhibition,established,5083,423,487.63,-0.205,-0.346,436.85,-0.046,-0.187,4.669,4.712,1.516,False,False,broad,sensitivity
SIMVASTATIN,CLARITHROMYCIN,CYP3A4 inhibition,established,1463,475,246.65,0.944,0.811,150.73,1.653,1.52,5.735,4.712,2.556,True,True,broad,sensitivity
SIMVASTATIN,ITRACONAZOLE,CYP3A4 inhibition,established,281,137,45.84,1.569,1.317,27.96,2.273,2.021,5.446,4.712,2.341,True,True,broad,sensitivity
SIMVASTATIN,GEMFIBROZIL,glucuronidation + OATP1B1,established,1846,525,468.58,0.164,0.038,273.38,0.94,0.814,7.238,4.712,5.297,True,True,broad,sensitivity
SIMVASTATIN,CYCLOSPORINE,OATP1B1 + CYP3A4,established,2083,542,199.21,1.442,1.318,170.49,1.666,1.542,4.253,4.712,1.267,True,True,broad,sensitivity
SIMVASTATIN,DILTIAZEM,CYP3A4 inhibition,established,6645,542,764.76,-0.496,-0.62,613.89,-0.18,-0.304,4.846,4.712,1.908,False,False,broad,sensitivity
SIMVASTATIN,VERAPAMIL,CYP3A4 inhibition,established,2907,278,344.2,-0.308,-0.482,267.21,0.057,-0.118,4.762,4.712,1.88,False,False,broad,sensitivity
LOVASTATIN,CLARITHROMYCIN,CYP3A4 inhibition,established,73,5,9.14,-0.81,-2.337,5.65,-0.161,-1.689,2.042,3.153,2.556,False,False,broad,sensitivity
LOVASTATIN,ITRACONAZOLE,CYP3A4 inhibition,established,7,2,0.81,0.931,-1.658,0.52,1.298,-1.291,1.712,3.153,2.341,False,False,broad,sensitivity
ATORVASTATIN,CLARITHROMYCIN,CYP3A4 inhibition,established,1922,172,283.45,-0.719,-0.943,175.99,-0.033,-0.257,3.439,4.014,2.556,False,False,broad,sensitivity
ATORVASTATIN,GEMFIBROZIL,OATP1B1 + glucuronidation,probable,1928,193,451.37,-1.224,-1.434,263.42,-0.448,-0.659,5.024,4.014,5.297,False,False,broad,sensitivity
ROSUVASTATIN,GEMFIBROZIL,OATP1B1 inhibition,established,702,97,225.1,-1.21,-1.512,110.0,-0.181,-0.482,5.084,5.235,5.297,False,False,broad,sensitivity
