drug_a,drug_b
CARBAMAZEPINE,CLARITHROMYCIN
CARBAMAZEPINE,CLONAZEPAM
CARBAMAZEPINE,CLOZAPINE
CARBAMAZEPINE,CYCLOPHOSPHAMIDE
CARBAMAZEPINE,CYCLOSPORINE
CARBAMAZEPINE,DANAZOL
CARBAMAZEPINE,DANTROLENE
CARBAMAZEPINE,DEXAMETHASONE
CARBAMAZEPINE,DILTIAZEM
CARBAMAZEPINE,DOXORUBICIN
CARBAMAZEPINE,DOXYCYCLINE
CARBAMAZEPINE,EDOXABAN
CARBAMAZEPINE,ERYTHROMYCIN
CARBAMAZEPINE,EVEROLIMUS
CARBAMAZEPINE,FELODIPINE
CARBAMAZEPINE,FLUCONAZOLE
CARBAMAZEPINE,FLUOXETINE
CARBAMAZEPINE,FLUVOXAMINE
CARBAMAZEPINE,FOSPHENYTOIN
CARBAMAZEPINE,HALOPERIDOL
CARBAMAZEPINE,IBUPROFEN
CARBAMAZEPINE,IMATINIB
CARBAMAZEPINE,IMIPRAMINE
